SINIF,YORUM
Thunderstorm Wind,Severe thunderstorms generated strong thunderstorm winds across parts of Los Angeles county. Porter Ranch reported a thunderstorm wind gust of 69 MPH while the RAWS sensors at Chilao and Cheeseboro reported thunderstorm wind gusts between 60 and 63 MPH.
Thunderstorm Wind,Trained weather spotters in the city of Monterey Park reported strong thunderstorm wind gusts
Thunderstorm Wind,Isolated strong thunderstorms developed across the greater Phoenix metropolitan area during the late afternoon and early evening hours on July 18th. Some of the stronger storms affected central Phoenix and the area around Sky Harbor International Airport
Winter Weather,Northerly winds gusting to near 50 mph combined with existing snow cover to cause areas of blowing snow
Winter Weather,Northerly winds gusting to near 50 mph combined with existing snow cover to cause areas of blowing snow
Winter Weather,Slowly decreasing winds that gusted over 40 mph early in the evening combined with existing snow cover to cause areas of blowing snow
Winter Weather,A light glaze of freezing rain caused hazardous travel conditions over portions of Fulton County. Several roads were closed due to the icy conditions.
Flood,The Little Red River at Judsonia remained above flood stage from December
Flood,The Cache River at Patterson remained above flood stage from November
Winter Weather,Snowfall amounts of up to 2 inches were observed across the county.
Thunderstorm Wind,A tree was blown down in Ponce De Leon.
Thunderstorm Wind,A tree was blown down just south of Bonifay.
Thunderstorm Wind,A high tension power line was blown down on Highway 98 near Breakers Street resulting in a large power outage.
Thunderstorm Wind,A tree was blown down onto the corner of a carport on the north side of Chipley.  This was a public post to the WMBB-TV facebook page.  There were also other reports of tree damage in Chipley.
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs in the mid to upper 90s after a period of cool weather were accompanied by humid conditions
Heavy Rain,Heavy rain fell from thunderstorms.
Thunderstorm Wind,Trees were blown down on Beechwood Drive.
Thunderstorm Wind,Trees were blown down on Rock Road.
Thunderstorm Wind,Trees were blown down on Dr. Martin Luther King Jr. Memorial Blvd.
Lake-Effect Snow,
Lake-Effect Snow,
Lake-Effect Snow,
Lake-Effect Snow,
Lake-Effect Snow,
Lake-Effect Snow,
Lake-Effect Snow,
Flood,There was one foot of water flowing across the road in the 200 block of Glendower Road.
Dense Fog,NYG reported reduced visibilities of one quarter mile or less.
Dense Fog,SHD and W13 reported reduced visibilities of one quarter mile or less.
Dense Fog,MRB reported visibilities of one quarter mile or less.
Dense Fog,NAK reported reduced visibilities of one quarter mile or less.
Dense Fog,Reduced visibilities of one quarter mile or less were reported at 8W2.
Dense Fog,Reduced visibilities of one quarter mile or less were reported at FRR.
Dense Fog,MRB reported reduced visibilities of one quarter mile or less.
Marine Thunderstorm Wind,BWH reported gusts of 35 knots.
Winter Weather,Between 1 and 4 inches of snow was reported.
Winter Weather,Between 1 and 4 inches of snow was reported.
Winter Weather,Between 1 and 4 inches of snow was reported.
Hail,Half dollar size hail was reported five miles south of Cheyenne.
Hail,Ping pong ball size hail was reported two miles south of Cheyenne.
Hail,Quarter size hail was reported 11 miles west of Chugwater.
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Ice Storm,Trained spotters reported between 0.2 and 0.4 inches of ice around the county.
Winter Weather,Between 3 and 4 inches of snow and a trace of ice was reported around the county.
Winter Weather,Between 3 and 6 inches of snow and a trace of ice was reported around the county.
Thunderstorm Wind,Estimated wind gusts of 60 mph were reported at Glenrock.
Heavy Rain,Almost three inches of rain fell in an hour with thunderstorms.
Heavy Rain,Two and three quarters inches of heavy rain fell with thunderstorms.
Flood,A NWS employee reported the low water crossing over Galloway Creek on Girdley Street in West Plains was flooded.
Flood,MODOT reported Route T was impassable due to flooding.
Flood,MODOT reported that Highway 142 was closed due to flooding.
Hail,
Hail,
Hail,
Thunderstorm Wind,A power pole was blown down near the intersection of Iris Road and Goldfinch Road.
Thunderstorm Wind,There was a picture of a tree down along Highway 17 near Lanton.
Hail,
Flash Flood,West Windsor Twp declared a state of emergency Due to widespread flash flooding
Flood,Street flooding reported near the old bridge park and ride. Photos show water about half way up to lights on cars driving through it. Water about six inches deep.
Hail,
Hail,
Hail,There were a couple pictures of the hail on social media.
Hail,One inch diameter hail observed.
Wildfire,A wildfire about 2 miles east of Bostwick grew about 250 acres. The fire was about 60 percent contained as of the late evening report. One dozen homes were threatened during the late afternoon
Hail,
Thunderstorm Wind,A tree was blown down in Pridgen.
Hail,Quarter size hail was reported in Daytona North by an off duty Fire Rescue Captain.
Hail,
Hail,
Hail,
Hail,Dime to penny size hail was observed in St. Augustine Shores.
Thunderstorm Wind,Scattered thunderstorms developed across the central portion of the greater Phoenix area during the early evening hours on July 18th
Thunderstorm Wind,Thunderstorm winds caused tree damage
Lightning,A vehicle was struck by lightning at State Road 100 and Interstate 95. The cost of damage was unknown but was estimated for the event to be included in StormData.
Heavy Rain,CWOP site recorded 2.31 inches within 2 hours. About 2.02 inches occurred within 1 hour.
Thunderstorm Wind,A tree was blown down at Avery and Spring Street in St. Augustine. The time of damage was based on radar. The cost of damage was estimated for the event to be included in storm data.
Hail,Dime size hail was observed in Marineland near Washington Oaks.
Winter Weather,Reports of slide-offs and accidents
Winter Weather,Reports of slide-offs and accidents
Winter Weather,Reports of slide-offs and accidents
Winter Weather,Reports of slide-offs and accidents
Hail,
Hail,Broadcast Media received several reports of quarter size hail on the south side of Nacogdoches.
Winter Weather,Slowly decreasing winds that gusted over 40 mph early in the evening combined with existing snow cover to cause areas of blowing snow
Hail,Penny sized hail reported in Grand Cane.
Flood,The Arkansas River near Ozark rose above its flood stage of 357 feet at 10:00 pm CST on December 27th. The river crested at 369.07 feet at 5:00 pm CST on the 29th
Winter Storm,One quarter of an inch of freezing rain accrual was reported across the county. In addition
Heavy Snow,SNOTEL amounts were 15 inches at Bostetter Ranger Station
Heavy Snow,Spotters reported 12 inches of snow in Inkom.   SNOTEL amounts were the following:  13 inches at Pine Creek Pass
Heavy Snow,Eight inches of snow fell in Franklin.   SNOTEL amounts were 17 inches at Emigrant Summit.
Winter Storm,One quarter of an inch of freezing rain accrual was reported across the county. In addition
Heavy Snow,Snow amounts reported by spotters were 10 inches at Victor and 9 inches in Driggs.  SNOTEL amounts were the following:  25 inches at Black Bear
Thunderstorm Wind,A power line was blown down just east of Veterans Memorial Road.
Thunderstorm Wind,A tree was blown down near the entrance to the Wade Wehunt Pool in Myers Park.  This report was received via Twitter from the Tallahassee Parks and Recreation.
Thunderstorm Wind,A tree was blown down near the intersection of 3rd Street and 12th Ave.
Marine Thunderstorm Wind,Miami Beach Fire Rescue WeatherBug site recorded gust to 46 mph (40kts).
Marine Thunderstorm Wind,WxFlow site XKBS near Key Biscayne recorded a gust to 46 mph (40kts).
Marine Thunderstorm Wind,Settlement Point C-MAN station recorded a gust to 76 mph (66kts) with sustained winds of 56 mph (49kts).
Coastal Flood,Emergency manager reported flooding along road 187. The road from Pinones to Parcelas Suarez was closed due to coastal flooding associated to the large breaking waves. The road was closed late Monday night and opened Tuesday afternoon.
Coastal Flood,Reports of debris over coastal costal roads were received across sector Costa Norte in Camuy. The event took place during the overnight and early morning hours.
Thunderstorm Wind,A tree was blown down at 164 Williams Drive.
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Winter Storm,
Winter Storm,
Excessive Heat,Temperatures reaching daytime highs of 95 to 100 after a period of cool weather were accompanied by humid conditions
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Heavy Rain,Heavy rain fell from thunderstorms.
Winter Storm,The Sage Creek Basin SNOTEL site (elevation 7850 ft) estimated 12 inches of snow.
Winter Storm,The Sandstone Ranger Station SNOTEL site (elevation 8150 ft) estimated 18 inches of snow.
